id;artist;song;duration_sec;explicit;year;genre;popularity;;;;;;;;
240;Christina Aguilera;Dirrty (feat. Redman);299;FALSE;2002;pop;68;;;;;;;;
241;B2K;Uh Huh;223;FALSE;2002;hip hop, pop, R&B;49;;;;;;;;
242;Sugababes;Freak Like Me;196;FALSE;2002;pop, R&B;45;;;;;;;;
243;Dirty Vegas;Days Go By;432;FALSE;2002;Dance/Electronic;48;;;;;;;;
244;Fat Joe;What's Luv? (feat. Ja-Rule & Ashanti);267;TRUE;2001;hip hop, pop;73;;;;;;;;
245;Liberty X;Just A Little;237;FALSE;2019;pop;43;;;;;;;;
246;No Doubt;Hella Good;243;FALSE;2001;rock, pop;26;;;;;;;;
247;LL Cool J;Luv U Better;287;FALSE;2002;hip hop, pop, R&B;2;;;;;;;;
248;Red Hot Chili Peppers;Can't Stop;269;FALSE;2002;rock;80;;;;;;;;
249;Musiq Soulchild;Halfcrazy;254;FALSE;2002;pop, R&B;58;;;;;;;;
250;Sean Paul;Gimme the Light;228;TRUE;2002;hip hop, pop;59;;;;;;;;
251;Faith Evans;I Love You;267;FALSE;2001;hip hop, pop, R&B;53;;;;;;;;
252;Charli Baltimore;Down 4 U;318;TRUE;2002;pop;47;;;;;;;;
253;Kylie Minogue;Love at First Sight;238;FALSE;2001;pop, Dance/Electronic;55;;;;;;;;
254;N.O.R.E.;Nothin';265;TRUE;2002;hip hop, pop;58;;;;;;;;
255;Gareth Gates;Unchained Melody;234;FALSE;2003;pop;35;;;;;;;;
256;Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];269;FALSE;2005;hip hop, pop;63;;;;;;;;
257;Big Brovaz;Nu Flow;201;FALSE;2001;pop;45;;;;;;;;
258;No Doubt;Hey Baby;207;FALSE;2001;rock, pop;24;;;;;;;;
259;Ashanti;Baby;266;TRUE;2002;hip hop, pop, R&B;55;;;;;;;;
260;Sophie Ellis-Bextor;Murder On The Dancefloor;230;FALSE;2002;pop, Dance/Electronic;62;;;;;;;;
261;Justin Timberlake;Like I Love You;284;FALSE;2002;pop;62;;;;;;;;
262;Mary J. Blige;Rainy Dayz;276;FALSE;2001;pop, R&B;32;;;;;;;;
263;A1;Caught in the Middle;206;FALSE;2001;pop;53;;;;;;;;
264;Eminem;Cleanin' Out My Closet;298;TRUE;2002;hip hop;71;;;;;;;;
265;Ashanti;Happy;262;TRUE;2002;hip hop, pop, R&B;61;;;;;;;;
266;Delta Goodrem;Born to Try;251;FALSE;2003;pop;54;;;;;;;;
267;P!nk;Get the Party Started;193;FALSE;2001;pop;68;;;;;;;;
268;Alicia Keys;A Woman's Worth;303;FALSE;2001;pop, R&B;52;;;;;;;;
269;Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;161;FALSE;2002;pop;56;;;;;;;;
270;Coldplay;Clocks;308;FALSE;2002;rock, pop;79;;;;;;;;
271;Missy Elliott;Work It;263;TRUE;2002;hip hop, pop, R&B;70;;;;;;;;
272;Ronan Keating;If Tomorrow Never Comes;214;FALSE;2002;pop, rock;60;;;;;;;;
273;Big Tymers;Still Fly;336;TRUE;2002;hip hop, pop;64;;;;;;;;
274;Creed;My Sacrifice;295;FALSE;2001;pop, rock, metal;69;;;;;;;;
275;Ja Rule;Always On Time;245;TRUE;2001;hip hop, pop, R&B;73;;;;;;;;
276;Ashanti;Foolish;227;TRUE;2002;hip hop, pop, R&B;70;;;;;;;;
277;Avril Lavigne;Sk8er Boi;204;FALSE;2002;pop;75;;;;;;;;
278;DJ Sammy;Heaven;234;FALSE;2002;pop;63;;;;;;;;
279;Britney Spears;I'm Not a Girl, Not Yet a Woman;231;FALSE;2001;pop;58;;;;;;;;
280;Cam’ron;Oh Boy;205;TRUE;2002;hip hop, pop;67;;;;;;;;
281;Red Hot Chili Peppers;By the Way;217;FALSE;2002;rock;73;;;;;;;;
282;Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;212;FALSE;2002;rock, easy listening;60;;;;;;;;
283;Atomic Kitten;The Tide Is High - Radio Mix;206;FALSE;2002;pop;65;;;;;;;;
284;*NSYNC;Girlfriend;254;FALSE;2001;pop;50;;;;;;;;
285;Robbie Williams;Somethin' Stupid;170;FALSE;2001;pop, rock;64;;;;;;;;
286;Alanis Morissette;Hands Clean;269;FALSE;2002;pop, Folk/Acoustic;57;;;;;;;;
287;Usher;U Don't Have to Call;269;TRUE;2001;hip hop, pop, R&B;59;;;;;;;;
288;Creed;One Last Breath - Radio Version;242;FALSE;2015;pop, rock, metal;47;;;;;;;;
289;The Goo Goo Dolls;Here Is Gone;238;FALSE;2002;pop, rock;56;;;;;;;;
290;Puddle Of Mudd;She Hates Me;217;TRUE;2001;rock, metal;70;;;;;;;;
291;Ludacris;Rollout (My Business);297;TRUE;2001;hip hop, pop;60;;;;;;;;
292;Blazin' Squad;Crossroads - Radio Edit;189;FALSE;2012;set();40;;;;;;;;
293;Default;Wasting My Time;269;FALSE;2001;rock, pop, metal;40;;;;;;;;
294;Michelle Branch;All You Wanted;218;FALSE;2001;pop, Folk/Acoustic;60;;;;;;;;
295;Daniel Bedingfield;If You're Not The One;257;FALSE;2002;pop;58;;;;;;;;
296;Enrique Iglesias;Escape;209;FALSE;2001;pop, latin;56;;;;;;;;
297;Puddle Of Mudd;Blurry;304;FALSE;2001;rock, metal;64;;;;;;;;
298;Coldplay;In My Place;227;FALSE;2002;rock, pop;72;;;;;;;;
299;Outkast;The Whole World (feat. Killer Mike);295;TRUE;2001;hip hop, pop;51;;;;;;;;
